Description,AssemblyDescription
2'' EMT,UNK CONDUIT - EMT
"1""   FLEX AL","1"" CONDUIT - FLEX"
"[ENT] 3/4"" Blue ENT, 100' Long","3/4"" UNK"
3/4” sch   pvc,"3/4"" CONDUIT - PVC"
"1 1/2"" EMT PIPE","1-1/2"" CONDUIT - EMT"
"1-1/2"" PVC","1-1/2"" CONDUIT - PVC"
"5"" PVC Conduit, 10', Schedule ","5"" CONDUIT - PVC"
"1-1/4"" EMT Mini","1-1/4"" CONDUIT - EMT"
"2"" PVC  ","2"" CONDUIT - PVC"
3'' EMT  Plastic Throated Con,UNK CONDUIT - EMT
"3"" Schedule 80 PVC Conduit","3"" CONDUIT - PVC"
PVC 150 1-1/2-PVC-SCHED-40-CON,"1-1/2"" CONDUIT - PVC"
1/2'' EMT CONDUIT,"1/2"" CONDUIT - EMT"
"4"" PVC Sch 40 20' Sections","4"" CONDUIT - PVC"
3/4 Steel Flex,"3/4"" CONDUIT - FLEX"
"2"" PVC ","2"" CONDUIT - PVC"
1/2” Greenfield to emt transit,"1/2"" CONDUIT - EMT"
"[PVC] 5"", Schedule 40, 10' Sti","5"" CONDUIT - PVC"
"4""  PVC Conduit","4"" CONDUIT - PVC"
"3/4"" PVC F/A","3/4"" CONDUIT - PVC"
"100 10' 4"" PVC schedule 40","4"" CONDUIT - PVC"
"4"" x 6"" Galvanized Conduit Nip","6"" CONDUIT - GRC"
"BLUE 1/2"" ENT","1/2"" UNK"
"3"" PVC Sch 40 20' Sections","3"" CONDUIT - PVC"
WI ELE40030 Wi 30D Emt Conduit,UNK CONDUIT - EMT
"3/4"" PVC Conduit (10 FT stick)","3/4"" CONDUIT - PVC"
"3/4"" PVC M/A","3/4"" CONDUIT - PVC"
"EMT Conduit, 1-1/4"", Steel, 10","1-1/4"" CONDUIT - EMT"
"2"" pvc sch 40 conduit","2"" CONDUIT - PVC"
3” PVC,"3"" CONDUIT - PVC"
1 1/2” Pvc,"1-1/2"" CONDUIT - PVC"
"[PVC] 3"", Schedule 80, 10' Sti","3"" CONDUIT - PVC"
"1-1/4"" EMT","1-1/4"" CONDUIT - EMT"
"[GRC/RMC] 1 1/4"", 10' Sticks","1-1/4"" CONDUIT - GRC"
"1"" EMT pipe","1"" CONDUIT - EMT"
"SPEC-FLX-50B 1/2"" FLEX METAL C","1/2"" CONDUIT - FLEX"
"TOPAZ ELECTRIC 2108 3"" EMT & R","3"" CONDUIT - EMT"
"1"" metal flex","1"" CONDUIT - FLEX"
LT STR FLEXCON 1,"1"" CONDUIT - FLEX"
"EMT 1.5"" CONDUIT","5"" CONDUIT - EMT"
"1""  PVC SCH 40 (20' LENGTHS)","1"" CONDUIT - PVC"
PVC 100 1-IN-PVC-SCHED-40-COND,UNK CONDUIT - PVC
LT FLEX 2,"2"" CONDUIT - FLEX"
"3"" PVC Conduit, 10', Schedule ","3"" CONDUIT - PVC"
